code_commune_INSEE,nom_commune_postal,code_postal,libelle_acheminement,ligne_5,latitude,longitude,code_commune,article,nom_commune,nom_commune_complet,code_departement,nom_departement,code_region,nom_region,id,uid,name,abbreviation,display_name,short_display_name,is_active,link,opponent_libelle_acheminement,opponent_latitude,opponent_longitude,team_location,opponent_location,distance,distance_km,sum_distance,team_summary
10387,TROYES,10000,TROYES,NA,48.2967099637,4.07827967525,387,NA,Troyes,Troyes,10,Aube,44,Grand Est,170,s:600~t:170,Troyes,TRY,Troyes,Troyes,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/170.png,MARSEILLE,43.2999009436,5.38227869795,"c(4.07827967525, 48.2967099637)","c(5.38227869795, 43.2999009436)",564718.016808188,564.718016808188,7277.486452157277,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/170.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Troyes</span> <br> <span style='font-size: 10px;line-height: 14px;'>7,277  Km</span></span>"
10387,TROYES,10000,TROYES,NA,48.2967099637,4.07827967525,387,NA,Troyes,Troyes,10,Aube,44,Grand Est,170,s:600~t:170,Troyes,TRY,Troyes,Troyes,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/170.png,BREST,48.4004997828,-4.5027907853,"c(4.07827967525, 48.2967099637)","c(-4.5027907853, 48.4004997828)",633913.734897163,633.913734897163,7277.486452157277,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/170.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Troyes</span> <br> <span style='font-size: 10px;line-height: 14px;'>7,277  Km</span></span>"
10387,TROYES,10000,TROYES,NA,48.2967099637,4.07827967525,387,NA,Troyes,Troyes,10,Aube,44,Grand Est,170,s:600~t:170,Troyes,TRY,Troyes,Troyes,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/170.png,BORDEAUX,44.8572445351,-0.57369678116,"c(4.07827967525, 48.2967099637)","c(-0.57369678116, 44.8572445351)",522009.935158442,522.009935158442,7277.486452157277,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/170.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Troyes</span> <br> <span style='font-size: 10px;line-height: 14px;'>7,277  Km</span></span>"
10387,TROYES,10000,TROYES,NA,48.2967099637,4.07827967525,387,NA,Troyes,Troyes,10,Aube,44,Grand Est,170,s:600~t:170,Troyes,TRY,Troyes,Troyes,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/170.png,MONTPELLIER,43.6134409138,3.86851657896,"c(4.07827967525, 48.2967099637)","c(3.86851657896, 43.6134409138)",521008.3944622131,521.0083944622131,7277.486452157277,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/170.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Troyes</span> <br> <span style='font-size: 10px;line-height: 14px;'>7,277  Km</span></span>"
10387,TROYES,10000,TROYES,NA,48.2967099637,4.07827967525,387,NA,Troyes,Troyes,10,Aube,44,Grand Est,170,s:600~t:170,Troyes,TRY,Troyes,Troyes,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/170.png,RENNES,48.1119791219,-1.68186449144,"c(4.07827967525, 48.2967099637)","c(-1.68186449144, 48.1119791219)",427270.928769501,427.270928769501,7277.486452157277,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/170.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Troyes</span> <br> <span style='font-size: 10px;line-height: 14px;'>7,277  Km</span></span>"
10387,TROYES,10000,TROYES,NA,48.2967099637,4.07827967525,387,NA,Troyes,Troyes,10,Aube,44,Grand Est,170,s:600~t:170,Troyes,TRY,Troyes,Troyes,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/170.png,ST ETIENNE,45.4301235512,4.37913997076,"c(4.07827967525, 48.2967099637)","c(4.37913997076, 45.4301235512)",319569.29032865504,319.56929032865503,7277.486452157277,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/170.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Troyes</span> <br> <span style='font-size: 10px;line-height: 14px;'>7,277  Km</span></span>"
10387,TROYES,10000,TROYES,NA,48.2967099637,4.07827967525,387,NA,Troyes,Troyes,10,Aube,44,Grand Est,170,s:600~t:170,Troyes,TRY,Troyes,Troyes,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/170.png,"NANTES",47.2316356767,-1.54831008605,"c(4.07827967525, 48.2967099637)","c(-1.54831008605, 47.2316356767)",436792.467544398,436.792467544398,7277.486452157277,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/170.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Troyes</span> <br> <span style='font-size: 10px;line-height: 14px;'>7,277  Km</span></span>"
10387,TROYES,10000,TROYES,NA,48.2967099637,4.07827967525,387,NA,Troyes,Troyes,10,Aube,44,Grand Est,170,s:600~t:170,Troyes,TRY,Troyes,Troyes,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/170.png,ANGERS,47.476837416,-0.556125995444,"c(4.07827967525, 48.2967099637)","c(-0.556125995444, 47.476837416)",357334.144300584,357.334144300584,7277.486452157277,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/170.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Troyes</span> <br> <span style='font-size: 10px;line-height: 14px;'>7,277  Km</span></span>"
10387,TROYES,10000,TROYES,NA,48.2967099637,4.07827967525,387,NA,Troyes,Troyes,10,Aube,44,Grand Est,170,s:600~t:170,Troyes,TRY,Troyes,Troyes,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/170.png,REIMS,49.2514906066,4.0402302322,"c(4.07827967525, 48.2967099637)","c(4.0402302322, 49.2514906066)",106203.534665439,106.20353466543901,7277.486452157277,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/170.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Troyes</span> <br> <span style='font-size: 10px;line-height: 14px;'>7,277  Km</span></span>"
10387,TROYES,10000,TROYES,NA,48.2967099637,4.07827967525,387,NA,Troyes,Troyes,10,Aube,44,Grand Est,170,s:600~t:170,Troyes,TRY,Troyes,Troyes,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/170.png,LORIENT,47.7500486947,-3.37823200917,"c(4.07827967525, 48.2967099637)","c(-3.37823200917, 47.7500486947)",557639.7678069611,557.6397678069611,7277.486452157277,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/170.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Troyes</span> <br> <span style='font-size: 10px;line-height: 14px;'>7,277  Km</span></span>"
10387,TROYES,10000,TROYES,NA,48.2967099637,4.07827967525,387,NA,Troyes,Troyes,10,Aube,44,Grand Est,170,s:600~t:170,Troyes,TRY,Troyes,Troyes,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/170.png,METZ,49.1081133279,6.1955245421,"c(4.07827967525, 48.2967099637)","c(6.1955245421, 49.1081133279)",179661.44019219396,179.66144019219396,7277.486452157277,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/170.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Troyes</span> <br> <span style='font-size: 10px;line-height: 14px;'>7,277  Km</span></span>"
10387,TROYES,10000,TROYES,NA,48.2967099637,4.07827967525,387,NA,Troyes,Troyes,10,Aube,44,Grand Est,170,s:600~t:170,Troyes,TRY,Troyes,Troyes,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/170.png,LILLE,50.6317183168,3.04783272312,"c(4.07827967525, 48.2967099637)","c(3.04783272312, 50.6317183168)",270102.33365318907,270.1023336531891,7277.486452157277,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/170.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Troyes</span> <br> <span style='font-size: 10px;line-height: 14px;'>7,277  Km</span></span>"
10387,TROYES,10000,TROYES,NA,48.2967099637,4.07827967525,387,NA,Troyes,Troyes,10,Aube,44,Grand Est,170,s:600~t:170,Troyes,TRY,Troyes,Troyes,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/170.png,LENS,50.4374264148,2.82105851259,"c(4.07827967525, 48.2967099637)","c(2.82105851259, 50.4374264148)",254841.87677043703,254.84187677043704,7277.486452157277,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/170.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Troyes</span> <br> <span style='font-size: 10px;line-height: 14px;'>7,277  Km</span></span>"
10387,TROYES,10000,TROYES,NA,48.2967099637,4.07827967525,387,NA,Troyes,Troyes,10,Aube,44,Grand Est,170,s:600~t:170,Troyes,TRY,Troyes,Troyes,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/170.png,CLERMONT FERRAND,45.7856492991,3.11554542903,"c(4.07827967525, 48.2967099637)","c(3.11554542903, 45.7856492991)",288583.95652477,288.58395652477003,7277.486452157277,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/170.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Troyes</span> <br> <span style='font-size: 10px;line-height: 14px;'>7,277  Km</span></span>"
10387,TROYES,10000,TROYES,NA,48.2967099637,4.07827967525,387,NA,Troyes,Troyes,10,Aube,44,Grand Est,170,s:600~t:170,Troyes,TRY,Troyes,Troyes,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/170.png,STRASBOURG,48.5712679849,7.76752679517,"c(4.07827967525, 48.2967099637)","c(7.76752679517, 48.5712679849)",273857.35412482795,273.85735412482796,7277.486452157277,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/170.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Troyes</span> <br> <span style='font-size: 10px;line-height: 14px;'>7,277  Km</span></span>"
10387,TROYES,10000,TROYES,NA,48.2967099637,4.07827967525,387,NA,Troyes,Troyes,10,Aube,44,Grand Est,170,s:600~t:170,Troyes,TRY,Troyes,Troyes,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/170.png,LYON,45.7699284397,4.82922464978,"c(4.07827967525, 48.2967099637)","c(4.82922464978, 45.7699284397)",286667.724004448,286.66772400444796,7277.486452157277,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/170.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Troyes</span> <br> <span style='font-size: 10px;line-height: 14px;'>7,277  Km</span></span>"
10387,TROYES,10000,TROYES,NA,48.2967099637,4.07827967525,387,NA,Troyes,Troyes,10,Aube,44,Grand Est,170,s:600~t:170,Troyes,TRY,Troyes,Troyes,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/170.png,PARIS,48.8626304852,2.33629344655,"c(4.07827967525, 48.2967099637)","c(2.33629344655, 48.8626304852)",142759.93939499898,142.75993939499898,7277.486452157277,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/170.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Troyes</span> <br> <span style='font-size: 10px;line-height: 14px;'>7,277  Km</span></span>"
10387,TROYES,10000,TROYES,NA,48.2967099637,4.07827967525,387,NA,Troyes,Troyes,10,Aube,44,Grand Est,170,s:600~t:170,Troyes,TRY,Troyes,Troyes,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/170.png,MONACO,43.73,7.42,"c(4.07827967525, 48.2967099637)","c(7.42, 43.73)",569467.6115832301,569.4676115832301,7277.486452157277,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/170.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Troyes</span> <br> <span style='font-size: 10px;line-height: 14px;'>7,277  Km</span></span>"
13201,MARSEILLE 01,13001,MARSEILLE,NA,43.2999009436,5.38227869795,201,NA,Marseille 01,Marseille 01,13,Bouches-du-Rhône,93,Provence-Alpes-Côte d'Azur,176,s:600~t:176,Marseille,MAR,Marseille,Marseille,TRUE,https://a.espncdn.com/i/teamlogos/soccer/500/176.png,NICE,43.7119992661,7.23826889465,"c(5.38227869795, 43.2999009436)","c(7.23826889465, 43.7119992661)",156538.62895067,156.53862895067002,10540.57770715442,"<img src='https://a.espncdn.com/i/teamlogos/soccer/500/176.png' width='20'/><br> <span style='font-family: ""Gotham Black"";'><span style='font-size: 13px;line-height: 14px;'>Marseille</span> <br> <span style='font-size: 10px;line-height: 14px;'>10,541  Km</span></span>"
